date,tweet,sentiment
Fri Mar 23 00:40:40 +0000 2018,@p0nd3ea Bitcoin wasn't built to live on exchanges.,1.0
Fri Mar 23 00:40:40 +0000 2018,@historyinflicks Buddy if I had whatever series of 19th diseases Bannon clearly has I'd want to be a bitcoin too.,1.0
Fri Mar 23 00:41:07 +0000 2018,"I am experimenting whether I can live only with bit coins donated. Please cooperate.

3NKbfJuuMKzNMYMcLqCf5w8TgeGvue7A5 ##bitcoin #Donation",1.0
Fri Mar 23 00:41:34 +0000 2018,"Embrace the FUD.

That means more cheap coins for me and less dumb people in Bitcoin.

I'm playing the long game.",0.0
Fri Mar 23 00:42:26 +0000 2018,"#YABTCL - #Bitcoin #Lottery
Draw #701 - Winning Numbers: 03-10-16-18-46-62",1.0
Fri Mar 23 00:42:47 +0000 2018,New #bitcoin block 000000000000000000451731d60b7b0bc228f26b7b946cf3c610d52839d4e61a mined at height 514741.,1.0
Fri Mar 23 00:42:50 +0000 2018,New #bitcoin block 00000000000000000045b039632035f328a6dbbc05b69dbf562e103fb46bdf60 mined at height 514742.,1.0
Fri Mar 23 00:43:07 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:43:36 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:43:48 +0000 2018,"@CryptoShillNye HEY FUCK YOU, TRX IS NEXT BITCOIN BITCH.",0.0
Fri Mar 23 00:43:51 +0000 2018,@NickSzabo4 Monopoly: Bitcoin Edition would be the least fun board game ever 😂,0.0
Fri Mar 23 00:43:56 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:44:47 +0000 2018,@CryptoCobain I want to be a big man can u plzzz give me free bitcoin?,1.0
Fri Mar 23 00:45:10 +0000 2018,"“SBI Bits has invested in more blockchain companies than Google.”-Jerry Chan

#bitcoincash #bitcoin #satoshivision conference",1.0
Fri Mar 23 00:45:34 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:46:34 +0000 2018,"@GetCoinJar @boostjuiceoz Watermelon, pineapple and strawberries. Sometimes sweet then sour which is how Bitcoin markets are.",1.0
Fri Mar 23 00:47:56 +0000 2018,@TechnicalCrypto Pretty sure we could have tested bitcoin over the last 10 or so years,1.0
Fri Mar 23 00:49:24 +0000 2018,"@kyletorpey In terms of casual use, dollars are known as bucks- pounds, quid etc. so calling Bitcoin Cash, bcash, isn’t a problem either",0.0
Fri Mar 23 00:50:00 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:50:26 +0000 2018,New #bitcoin block 0000000000000000002fa5cee2ae556e0353f8090fa0d234a25d94c2bfb3e832 mined at height 514743.,1.0
Fri Mar 23 00:50:37 +0000 2018,"#MAPS has 1 new tx
(📈 input: 0.00115192 BTC / 10.03 USD)
Final balance: 0.00115192 BTC / 10.03 USD
#donation #bitcoin #cryptopaymon 🤖🗿👍",1.0
Fri Mar 23 00:50:37 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:50:56 +0000 2018,@Bitcoin Don't kid yourself. The rich will always control to some degree because they have the buying power...,1.0
Fri Mar 23 00:51:23 +0000 2018,"@Billyisgreat123 LOL, obviously your clueless, bitcoin is good, just not as good as it once was",1.0
Fri Mar 23 00:52:14 +0000 2018,"@kyletorpey I would go with dev, bcash is based on bitcoin code base for a reason",0.0
