instruction,sentiment
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @p0nd3ea Bitcoin wasn't built to live on exchanges.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @historyinflicks Buddy if I had whatever series of 19th diseases Bannon clearly has I'd want to be a bitcoin too.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: I am experimenting whether I can live only with bit coins donated. Please cooperate.

3NKbfJuuMKzNMYMcLqCf5w8TgeGvue7A5 ##bitcoin #Donation",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Embrace the FUD.

That means more cheap coins for me and less dumb people in Bitcoin.

I'm playing the long game.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #YABTCL - #Bitcoin #Lottery
Draw #701 - Winning Numbers: 03-10-16-18-46-62",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: New #bitcoin block 000000000000000000451731d60b7b0bc228f26b7b946cf3c610d52839d4e61a mined at height 514741.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: New #bitcoin block 00000000000000000045b039632035f328a6dbbc05b69dbf562e103fb46bdf60 mined at height 514742.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @CryptoShillNye HEY FUCK YOU, TRX IS NEXT BITCOIN BITCH.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @NickSzabo4 Monopoly: Bitcoin Edition would be the least fun board game ever 😂",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @CryptoCobain I want to be a big man can u plzzz give me free bitcoin?",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: “SBI Bits has invested in more blockchain companies than Google.”-Jerry Chan

#bitcoincash #bitcoin #satoshivision conference",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @GetCoinJar @boostjuiceoz Watermelon, pineapple and strawberries. Sometimes sweet then sour which is how Bitcoin markets are.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @TechnicalCrypto Pretty sure we could have tested bitcoin over the last 10 or so years",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @kyletorpey In terms of casual use, dollars are known as bucks- pounds, quid etc. so calling Bitcoin Cash, bcash, isn’t a problem either",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: New #bitcoin block 0000000000000000002fa5cee2ae556e0353f8090fa0d234a25d94c2bfb3e832 mined at height 514743.",1.0
